tournament,match_info,status,team_ateam_a, team_b,score,time
مباريات ودية -أندية,مبارة ودية,انتهت,باير ليفركوزن,بيزا كالتشيو,"""3 - 0""",19:00
مباريات ودية -أندية,مبارة ودية,انتهت,مصر - شباب,بترول أسيوط,"""0 - 0""",19:00
مباريات ودية -أندية,مبارة ودية,انتهت,إمبولي,ساسولو,"""0 - 0""",19:30
مباريات ودية -أندية,مبارة ودية,انتهت,نوتينجهام فورست,فيورنتينا,"""0 - 0""",21:45
مباريات ودية -أندية,مبارة ودية,انتهت,باير ليفركوزن,بيزا كالتشيو,"""3 - 0""",19:00
مباريات ودية -أندية,مبارة ودية,انتهت,مصر - شباب,بترول أسيوط,"""0 - 0""",19:00
مباريات ودية -أندية,مبارة ودية,انتهت,إمبولي,ساسولو,"""0 - 0""",19:30
مباريات ودية -أندية,مبارة ودية,انتهت,نوتينجهام فورست,فيورنتينا,"""0 - 0""",21:45
الدوري المصري,الأسبوع الأول,انتهت,وادي دجلة,بيراميدز,"""0 - 0""",18:00
الدوري المصري,الأسبوع الأول,انتهت,المصري,الاتحاد السكندري,"""3 - 1""",21:00
الدوري المصري,الأسبوع الأول,انتهت,سيراميكا كليوباترا,الزمالك,"""0 - 2""",21:00
الدوري البرتغالي,الأسبوع الأول,انتهت,كازا بيا,سبورتينج لشبونة,"""0 - 2""",22:15
الدوري التركي,الأسبوع الأول,انتهت,غازي عنتاب بي.بي.كي,جالاتا سراي,"""0 - 3""",21:30
مباريات ودية -أندية,مبارة ودية,انتهت,أوليمبياكوس,التعاون,"""2 - 1""",17:00
مباريات ودية -أندية,مبارة ودية,انتهت,تشيلسي,باير ليفركوزن,"""2 - 0""",21:00
مباريات ودية -أندية,مبارة ودية,انتهت,موناكو,إنتر ميلان,"""1 - 2""",21:00
مباريات ودية -أندية,مبارة ودية,انتهت,نيوكاسل,اسبانيول,"""2 - 2""",21:30
مباريات ودية -أندية,مبارة ودية,انتهت,برينتفورد,مونشنجلادباخ,"""2 - 2""",21:30
الدوري المصري,الأسبوع الأول,انتهت,المقاولون العرب,زد,"""0 - 2""",18:00
الدوري المصري,الأسبوع الأول,انتهت,سموحة,طلائع الجيش,"""1 - 1""",18:00
الدوري المصري,الأسبوع الأول,انتهت,الإسماعيلي,بتروجيت,"""0 - 0""",21:00
الدوري المصري,الأسبوع الأول,انتهت,مودرن سبورت,الأهلي,"""2 - 2""",21:00
الدوري التونسي,الأسبوع الأول,انتهت,مستقبل قابس,الترجى الرياضي,"""0 - 0""",18:30
الدوري التونسي,الأسبوع الأول,انتهت,شبيبة القيروان,سليمان الرياضي,"""1 - 0""",18:30
الدوري التونسي,الأسبوع الأول,انتهت,الافريقي التونسي,مستقبل المرسى,"""1 - 0""",18:30
الدوري التونسي,الأسبوع الأول,انتهت,النجم الرياضي بالمتلوي,البنزرتي,"""0 - 0""",18:30
الدوري البرتغالي,الأسبوع الأول,انتهت,ناسيونال ماديرا,جل فيسنتي,"""0 - 2""",17:30
الدوري البرتغالي,الأسبوع الأول,انتهت,أروكا,اي في اس فوتبول,"""3 - 1""",22:30
الدوري التركي,الأسبوع الأول,انتهت,سامسون سبور,جنتشلربيرليجي,"""2 - 1""",19:00
الدوري التركي,الأسبوع الأول,انتهت,انطاليا سبور,قاسم باشا,"""2 - 1""",21:30
مباريات ودية -أندية,مبارة ودية,انتهت,فيردر بريمن,أودينيزي,"""0 - 1""",12:30
مباريات ودية -أندية,مبارة ودية,انتهت,مانشستر يونايتد,فيورنتينا,"""1 - 1""",14:45
مباريات ودية -أندية,مبارة ودية,انتهت,كولن,أتالانتا,"""4 - 0""",16:30
مباريات ودية -أندية,مبارة ودية,انتهت,فرايبورج,أوساسونا,"""2 - 2""",16:30
مباريات ودية -أندية,مبارة ودية,انتهت,هايدنهايم,بارما,"""2 - 1""",16:30
مباريات ودية -أندية,مبارة ودية,انتهت,ماينز,ستراسبورج,"""0 - 0""",16:30
مباريات ودية -أندية,مبارة ودية,انتهت,يونيون برلين,أوليمبياكوس,"""0 - 1""",16:30
مباريات ودية -أندية,مبارة ودية,انتهت,بيرنلي,لاتسيو,"""0 - 1""",17:00
مباريات ودية -أندية,مبارة ودية,انتهت,ايفرتون,روما,"""0 - 1""",17:00
مباريات ودية -أندية,مبارة ودية,انتهت,ليدز يونايتد,ميلان,"""1 - 1""",17:00
مباريات ودية -أندية,مبارة ودية,انتهت,وست هام يونايتد,ليل,"""1 - 1""",17:00
مباريات ودية -أندية,مبارة ودية,انتهت,وولفرهامبتون,سيلتا فيجو,"""0 - 1""",17:00
مباريات ودية -أندية,مبارة ودية,انتهت,نيوكاسل,اتلتيكو مدريد,"""0 - 2""",18:00
مباريات ودية -أندية,مبارة ودية,انتهت,أرسنال,أتلتيك بلباو,"""3 - 0""",19:00
مباريات ودية -أندية,مبارة ودية,انتهت,برايتون,فولفسبورج,"""2 - 1""",19:00
مباريات ودية -أندية,مبارة ودية,انتهت,فولهام,آ. فرانكفورت,"""1 - 0""",19:00
مباريات ودية -أندية,مبارة ودية,انتهت,لانس,لايبزيج,"""2 - 1""",19:00
مباريات ودية -أندية,مبارة ودية,انتهت,مارسيليا,أستون فيلا,"""3 - 1""",20:00
مباريات ودية -أندية,مبارة ودية,انتهت,نانت,نادي باريس,"""2 - 3""",20:00
مباريات ودية -أندية,مبارة ودية,انتهت,نابولي,جيرونا,"""3 - 2""",20:00
مباريات ودية -أندية,مبارة ودية,انتهت,غرناطه,العين,"""0 - 3""",21:00
مباريات ودية -أندية,مبارة ودية,انتهت,نوتينجهام فورست,القادسية,"""0 - 0""",21:45
مباريات ودية -أندية,مبارة ودية,انتهت,مانشستر سيتي,باليرمو,"""3 - 0""",22:00
مباريات ودية -أندية,مبارة ودية,انتهت,فالنسيا,تورينو,"""3 - 0""",22:00
الدوري المصري,الأسبوع الأول,انتهت,المقاولون العرب,زد,"""0 - 2""",18:00
الدوري المصري,الأسبوع الأول,انتهت,سموحة,طلائع الجيش,"""1 - 1""",18:00
الدوري المصري,الأسبوع الأول,انتهت,الإسماعيلي,بتروجيت,"""0 - 0""",21:00
الدوري المصري,الأسبوع الأول,انتهت,مودرن سبورت,الأهلي,"""2 - 2""",21:00
الدوري التونسي,الأسبوع الأول,انتهت,مستقبل قابس,الترجى الرياضي,"""0 - 0""",18:30
الدوري التونسي,الأسبوع الأول,انتهت,شبيبة القيروان,سليمان الرياضي,"""1 - 0""",18:30
الدوري التونسي,الأسبوع الأول,انتهت,الافريقي التونسي,مستقبل المرسى,"""1 - 0""",18:30
الدوري التونسي,الأسبوع الأول,انتهت,النجم الرياضي بالمتلوي,البنزرتي,"""0 - 0""",18:30
الدوري البرتغالي,الأسبوع الأول,انتهت,ناسيونال ماديرا,جل فيسنتي,"""0 - 2""",17:30
الدوري البرتغالي,الأسبوع الأول,انتهت,أروكا,اي في اس فوتبول,"""3 - 1""",22:30
الدوري التركي,الأسبوع الأول,انتهت,سامسون سبور,جنتشلربيرليجي,"""2 - 1""",19:00
الدوري التركي,الأسبوع الأول,انتهت,انطاليا سبور,قاسم باشا,"""2 - 1""",21:30
مباريات ودية -أندية,مبارة ودية,انتهت,فيردر بريمن,أودينيزي,"""0 - 1""",12:30
مباريات ودية -أندية,مبارة ودية,انتهت,مانشستر يونايتد,فيورنتينا,"""1 - 1""",14:45
مباريات ودية -أندية,مبارة ودية,انتهت,كولن,أتالانتا,"""4 - 0""",16:30
مباريات ودية -أندية,مبارة ودية,انتهت,فرايبورج,أوساسونا,"""2 - 2""",16:30
مباريات ودية -أندية,مبارة ودية,انتهت,هايدنهايم,بارما,"""2 - 1""",16:30
مباريات ودية -أندية,مبارة ودية,انتهت,ماينز,ستراسبورج,"""0 - 0""",16:30
مباريات ودية -أندية,مبارة ودية,انتهت,يونيون برلين,أوليمبياكوس,"""0 - 1""",16:30
مباريات ودية -أندية,مبارة ودية,انتهت,بيرنلي,لاتسيو,"""0 - 1""",17:00
مباريات ودية -أندية,مبارة ودية,انتهت,ايفرتون,روما,"""0 - 1""",17:00
مباريات ودية -أندية,مبارة ودية,انتهت,ليدز يونايتد,ميلان,"""1 - 1""",17:00
مباريات ودية -أندية,مبارة ودية,انتهت,وست هام يونايتد,ليل,"""1 - 1""",17:00
مباريات ودية -أندية,مبارة ودية,انتهت,وولفرهامبتون,سيلتا فيجو,"""0 - 1""",17:00
مباريات ودية -أندية,مبارة ودية,انتهت,نيوكاسل,اتلتيكو مدريد,"""0 - 2""",18:00
مباريات ودية -أندية,مبارة ودية,انتهت,أرسنال,أتلتيك بلباو,"""3 - 0""",19:00
مباريات ودية -أندية,مبارة ودية,انتهت,برايتون,فولفسبورج,"""2 - 1""",19:00
مباريات ودية -أندية,مبارة ودية,انتهت,فولهام,آ. فرانكفورت,"""1 - 0""",19:00
مباريات ودية -أندية,مبارة ودية,انتهت,لانس,لايبزيج,"""2 - 1""",19:00
مباريات ودية -أندية,مبارة ودية,انتهت,مارسيليا,أستون فيلا,"""3 - 1""",20:00
مباريات ودية -أندية,مبارة ودية,انتهت,نانت,نادي باريس,"""2 - 3""",20:00
مباريات ودية -أندية,مبارة ودية,انتهت,نابولي,جيرونا,"""3 - 2""",20:00
مباريات ودية -أندية,مبارة ودية,انتهت,غرناطه,العين,"""0 - 3""",21:00
مباريات ودية -أندية,مبارة ودية,انتهت,نوتينجهام فورست,القادسية,"""0 - 0""",21:45
مباريات ودية -أندية,مبارة ودية,انتهت,مانشستر سيتي,باليرمو,"""3 - 0""",22:00
مباريات ودية -أندية,مبارة ودية,انتهت,فالنسيا,تورينو,"""3 - 0""",22:00
الدوري البرتغالي,الأسبوع الأول,انتهت,إستوريل برايا,إستريلا,"""1 - 1""",20:45
